,1,2,3,4,5,6,7,8,9,10,11,12
PM10,47.89579290245188,49.54205725202038,67.68441874723956,68.68187444966601,35.69428203239793,27.33881656922107,23.290808764245796,21.690190835007478,20.691968562003467,29.21019029674641,31.727791434149456,38.66950839275275
PM2.5,27.88437390518209,32.702584377078495,28.415359798268142,21.61033181552302,16.28716119022006,15.923025260748915,13.125531118030526,12.911618827785244,11.638429910288345,16.184424376947486,18.530860232225205,24.775703290015525
O3,0.018474718015442784,0.02441739539300328,0.03702492219536466,0.03949258390134596,0.042724961376165056,0.04630497028860071,0.02921181888931902,0.02922487230445654,0.028245328149973086,0.02469655480187386,0.023796114411849464,0.02066500966996409
CO,0.528263988836195,0.5157031573875124,0.4542251549314826,0.3597175896214138,0.33378431961101784,0.3236211743521543,0.32148200819552286,0.3418841852563222,0.34423491373743886,0.41707709759722383,0.44963053920562107,0.5485342309062936
sulfur_dioxide,0.0023835785703032806,0.0025157330724836645,0.0023833150166121422,0.0019726494534159232,0.0019360487743657936,0.00192029041425074,0.0016658609392916515,0.0017475540448231453,0.0016522461349960734,0.0018279400391401095,0.002046757186668643,0.002112569081263003
nitrogen_dioxide,0.01854927898200627,0.018156484714002802,0.01598741013597067,0.011297578523623376,0.009966483770368306,0.008640365666823795,0.007336569065936901,0.007215865745617061,0.00810031404711828,0.0117160932198779,0.014103692352235825,0.016761113530940258
MI,93.0,94.0,115.0,112.0,89.0,82.0,101.0,98.0,82.0,119.0,123.0,117.0
IschemicStroke,271.0,258.0,298.0,315.0,316.0,327.0,302.0,316.0,306.0,292.0,292.0,318.0
HemorrhagicStroke,86.0,79.0,108.0,93.0,92.0,73.0,74.0,76.0,87.0,97.0,98.0,96.0
CA,100.0,78.0,84.0,73.0,71.0,73.0,82.0,75.0,66.0,94.0,112.0,74.0
